"ModelType","nComp","R2","RMSE","Bias","RPD","Cal_Region","Val_Region"
"Simple-GAM",NA,0.472677110778146,7.60050480969444,0.113922000501946,1.39107554214726,"N Kodiak","S Kodiak"
"VIP > 0.5",2,0.447281991450577,7.57447643638806,-2.31146208992725,1.46577369458884,"N Kodiak","S Kodiak"
"Simple-LM",NA,0.437887624590597,7.91979874195554,0.159343198312126,1.3349930589433,"N Kodiak","S Kodiak"
"Filtered SG",2,0.388944295896933,7.96418267069051,-3.07321165685281,1.43900508723499,"N Kodiak","S Kodiak"
"PCA-GAM",NA,0.382057630737031,8.40886063138077,-2.56040806777936,1.25734945698611,"N Kodiak","S Kodiak"
"PCA-LM",NA,0.364763177295698,8.52014926417225,-2.54733075344493,1.24092618813594,"N Kodiak","S Kodiak"
"VIP > 1.0",2,0.0969720395043545,9.68169529351913,-4.35029777675881,1.22239886967421,"N Kodiak","S Kodiak"
"SG Only",8,-0.32520194068924,11.7284830089156,7.10304954801898,1.13285441486201,"N Kodiak","S Kodiak"
"SNV+SG",6,-0.369270082420328,11.9218971547988,7.22420222935812,1.11483499731236,"N Kodiak","S Kodiak"
"Simple-GAM",NA,0.686495308955398,5.95725008309925,-0.0473270208439021,1.79115969740837,"N Kodiak","W Shumagins"
"Simple-LM",NA,0.676764330356375,6.07280877636469,0.138012543201375,1.75707595104247,"N Kodiak","W Shumagins"
"PCA-GAM",NA,0.659262320661399,6.67623809722184,-2.25335000279276,1.59826328852326,"N Kodiak","W Shumagins"
"PCA-LM",NA,0.646051217018943,6.92724964118953,-2.3817978936146,1.54034960610973,"N Kodiak","W Shumagins"
"Filtered SG",2,0.573308803083349,6.84883965951415,-0.708406331045177,1.56638621021829,"N Kodiak","W Shumagins"
"VIP > 0.5",2,0.555730843055989,6.98848824937398,0.887171064767638,1.53930570393079,"N Kodiak","W Shumagins"
"VIP > 1.0",2,0.485559523210979,7.52017112792127,0.377573789722713,1.42069386658381,"N Kodiak","W Shumagins"
"SG Only",8,0.302977741636571,8.75353516697114,1.00225694808686,1.22704985729646,"N Kodiak","W Shumagins"
"SNV+SG",6,0.231110933636832,9.19373539252602,2.46161207003186,1.20459622184376,"N Kodiak","W Shumagins"
"Simple-GAM",NA,0.666667319693573,6.4181243478049,-1.18624401867778,1.51296377238081,"S Kodiak","E Shumagins"
"Simple-LM",NA,0.612658581587343,6.86222558058504,0.241322279505275,1.4150496090273,"S Kodiak","E Shumagins"
"PCA-LM",NA,0.48472936185702,7.49093589329505,1.78403103422014,1.29628523901206,"S Kodiak","E Shumagins"
"SNV+SG",5,0.431784767291149,7.2079391459783,-1.27654246466745,1.36881739259546,"S Kodiak","E Shumagins"
"SG Only",4,0.419139210450579,7.28770367943193,-1.72168932401886,1.3712502795297,"S Kodiak","E Shumagins"
"PCA-GAM",NA,0.295832872776447,8.06436593137596,0.791775155163497,1.2041107394549,"S Kodiak","E Shumagins"
"Filtered SG",2,-0.661513770862541,12.3255596524432,-9.71877357899176,1.28095972844624,"S Kodiak","E Shumagins"
"VIP > 1.0",2,-0.686500648840105,12.4178935221836,-9.791556941024,1.27143030365601,"S Kodiak","E Shumagins"
"VIP > 0.5",2,-0.797356030040873,12.8195190441976,-10.355194156523,1.2849330223066,"S Kodiak","E Shumagins"
"Simple-GAM",NA,0.68901531570829,223.438757235509,183.80229470578,0.110245679372256,"S Kodiak","LPW"
"Simple-LM",NA,0.679101091085673,289.171192851824,245.94907538028,0.0851853787598535,"S Kodiak","LPW"
"PCA-LM",NA,0.62484310197258,36.8410997459259,29.7288667868379,0.660664966614466,"S Kodiak","LPW"
"PCA-GAM",NA,0.606192479793161,233.037341283642,213.590918272552,0.104445166596959,"S Kodiak","LPW"
"SG Only",4,-16.2221528424356,100.118461899811,-90.3809930430579,0.565124263709825,"S Kodiak","LPW"
"VIP > 1.0",2,-57.5520838773251,184.604221238665,-173.166136345552,0.38048279957066,"S Kodiak","LPW"
"VIP > 0.5",2,-67.6389421228125,199.873740539161,-186.382792164885,0.337174486475282,"S Kodiak","LPW"
"Filtered SG",2,-69.9975900498847,203.278877101497,-188.826668443304,0.323329447295314,"S Kodiak","LPW"
"SNV+SG",5,-92.4802690198871,233.254712249419,-208.647588920877,0.233410457167299,"S Kodiak","LPW"
"Simple-GAM",NA,0.743716026898231,10.0787717438064,3.49448271145076,1.68335891710776,"S Kodiak","N Kodiak"
"Simple-LM",NA,0.71456961025215,17.5375051071954,9.92285226860177,0.967423255744014,"S Kodiak","N Kodiak"
"PCA-GAM",NA,0.706744955522679,15.3744071441494,5.66817556412765,1.1035346032765,"S Kodiak","N Kodiak"
"PCA-LM",NA,0.673008645498405,10.7153987717352,-1.95386692913759,1.58334660705146,"S Kodiak","N Kodiak"
"SG Only",4,0.652017256992377,9.84561768425013,-3.05530575402298,1.81271309506066,"S Kodiak","N Kodiak"
"SNV+SG",5,0.548031632416741,11.2206530597454,-4.72451956124015,1.66702552770798,"S Kodiak","N Kodiak"
"Filtered SG",2,-0.0940305491159603,17.4573708842083,-11.2868832289253,1.27394027528718,"S Kodiak","N Kodiak"
